ID,年度（平成）,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,回答,解説
1,30,1,"次のａ～ｅの文は，測量法（昭和24 年法律第188 号）に規定された事項について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。
　a. 　「測量作業機関」とは，測量計画機関の指示又は委託を受けて測量作業を実施する者をいう。
　b. 　「測量標」とは，永久標識，一時標識及び航路標識をいう。
　c. 　測量業を営もうとする者は，測量業者としての登録を受けなければならない。
　登録の有効期間は5年で，有効期間の満了後も引き続き測量業を営もうとする者は，更新の登録を受けなければならない。
　d. 　測量士又は測量士補となる資格を有する者は，測量士又は測量士補になろうとする場合においては，国土地理院の長に対してその資格を証する書類を添えて，測量士名簿又は測量士補名簿に登録の申請をしなければならない。
　e. 　「公共測量」とは，基本測量以外の測量で，実施に要する費用の全部又は一部を国又は公共団体が負担し，又は補助して実施する測量をいい，広域的測量又は大縮尺図の調製を除く。",a，d,a，e,b，c,b，e,c，d,4,"測量法に関する問題である。問題各文について考えると次のようになる。
a.　正しい。（測量法 第8条）測量作業機関に関する文章である。問題文の通り。
b.　間違い。（測量法 第10条）測量標に関する文章である。航路標識ではなく、「仮設標識」である。航路標識は航路標識法により定めがある。
c.　正しい。（測量法 第55条1,2,3）測量業者の登録及び登録の有効期間に関する文章である。問題文の通り。
d.　正しい。（測量法 第49条）測量士及び測量士補に関する文章である。問題文の通り。
e.　間違い。（測量法 第5条1）公共測量に関する文章である。広域的測量又は大縮尺図の調整ではなく、「局地的測量又は小縮尺図の調整」である。
よって、明かに間違っている文書はb,eとなる。"
2,30,2,"次の文は，国際地球基準座標系（International Terrestrial Reference Frame）（以下「ITRF」という。）などについて述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",ITRF は，GNSS などの宇宙測地技術を用いた国際協力による観測に基づき構築・維持されている。,ITRF は，地球の重心を原点とした三次元直交座標系である。,ITRF のX 軸は東経90 度の子午線と赤道の交点を通る直線，Y 軸は経度0 度の子午線と赤道の交点を通る直線である。,ITRF で表す日本列島の位置のX，Y，Z の符号は，X は－，Y は＋，Z は＋である。,日本では，地球の形に近い回転楕円体の準拠楕円体として，GRS80 楕円体を採用している。,3,"世界測地系ITRF座標系に関する出題である。問題各文について考えると次のようになる。
1.　正しい。世界測地系は世界各国での共通利用を目的に、わが国を含む国際協力で構築されている。世界測地系は、VLBI、GNSS等の高精度な宇宙測地技術により構築維持されている。
2.　正しい。ITRF系は三次元直交座標系の測地基準系である。ITRF系による地球上の位置は、地球の重心を原点としたＸ,Ｙ,Ｚの三次元直交座標で表すことができる。
3.　間違い。Ｘ軸をグリニッジ子午線（経度0度）と赤道との交点方向に、Ｙ軸を東経90度の方向に、Ｚ軸を北極の方向としている。
4.　正しい。広義での日本列島はおおよそ東経122°～154°に位置している。これを考えると問題文の通りである。
5.　正しい。わが国においてはITRF座標系GRS80楕円体を使用し、標高については東京湾平均海面を基準としている。
よって、明かに間違っているのは３となる。"
3,30,3,"次の文は，地理情報標準プロファイル（以下「JPGIS」という。）について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",JPGIS は，空間データを異なるシステム間で相互利用する際の互換性の確保を主な目的に，空間データの整備及び利用の際のルールを規定したものである。,JPGIS は，国際標準化機構（ISO）が定めた空間データに関する国際規格及び日本工業規格（JIS）の中から，実利用に必要な部分を取り出して体系化したものである。,JPGIS に準拠する応用スキーマで定義された空間データの符号化には，統一モデル化言語（UML：Unified Modeling Language）を使用する。,測量計画機関が公共測量を実施するときは，得ようとする測量成果の種類，内容，構造，品質などを示す製品仕様書を，JPGIS に準拠して定めなければならない。,JPGIS に定められているメタデータは，空間データに関する説明情報で，その記述方式として国際規格に準拠した日本版メタデータプロファイルであるJMP2.0 が定められている。,3,"JPGISに関する問題である。問題各文について考えると次のようになる。
1.　正しい。問題文の通り。GISの基盤となる空間データを、国際規格及び国内規格に準じて、データの設計、品質、記述方法、仕様の書き方等のルールを規定した実用標準である。
2.　正しい。JPGISは標準規格として地理情報標準に関する国際規格（ISO）と地理情報標準に関する国内規格（JIS）から必要最低限の要素を抽出して実用規格としてまとめたものである。
3.　間違い。空間データの符号化とは空間データをコンピュータが扱えるようにデジタルデータ（プログラミング言語）化することである。この符号化方法としてオープン規格であるXML（Extensible Markup Language）が使用される。
4.　正しい。作業規程の準則に「製品仕様書は得ようとする測量成果の種類、内容、構造、品質等を示す仕様書（製品仕様書）をJPGISに準拠するものとする。」とある。
5.　正しい。JPGISでは、製品仕様書の作成について規定されている。国土地理院ではJPGISに準拠したメタデータ記述形式としてJMP2.0を定めている。JMPとは日本版メタデータプロファイル（ Japan Metadata Profile ）の略称で、そのバージョンが2.0であるものをJMP2.0と言う。
よって、明かに間違っているのは３となる。"
4,30,6,"次の文は，測量法（昭和24 年法律第188 号）における測量の基準について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。","基本測量及び公共測量における位置は，地理学的経緯度及び平均海面からの高さで表示する。
また，地心直交座標で表示することもできる。",基本測量及び公共測量における距離及び面積は，測量法で規定する回転楕円体の表面上の値で表示する。,測量の原点である日本経緯度原点及び日本水準原点の原点数値は，政令で定められており，セミ・ダイナミック補正により定期的に改正されている。,測量法で規定する回転楕円体の長半径及び扁平率の数値は，政令で定められている。,測量法で規定する回転楕円体は，その中心が地球の重心と一致し，その短軸が地球の自転軸と一致する。,3,"測量法における「測量の基準」に関する問題である。問題各文について考えると次のようになる。

1.	正しい。測量法11条1の文章である。基本測量及び公共測量における位置は、地理学的経緯度及び平均海面からの高さで表示する。また、直角座標及び平均海面からの高さ、極座標及び平均海面からの高さ又は地心直交座標で表示する。

2.	正しい。測量法11条2の文章である。いわゆる世界測地系（準拠楕円体）上の値で表示する。

3. 間違い。測量法11条4の文章である。経緯度原点及び水準原点の政令は測量法施行令 2条1-2,2-2であり、近年の改正は、2011年の東北地方太平洋沖地震である。
セミ・ダイナミック補正により改正されるのは、地殻変動補正パラメータである。

4.	正しい。測量法11条3-1の文章である。政令は測量法施行令3条1,2項で、長半径 6,378,137ｍ、扁平率1/298.257222101 である。

5.	正しい。測量法11条3-2,3の文章である。その他に「長半径及び扁平率が、地理学的経緯度の測定に関する国際的な決定に基づき政令で定める値であるものであること。」とある。

よって、明かに間違っているのは３となる。"
5,30,7,"次のａ～ｃの文は，公共測量において実施するトータルステーション（以下「TS」という。）を用いた基準点測量の精度管理について述べたものである。
　ア　 ～ 　エ　 に入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

　a. 　気象補正前の測定距離は，気温が上がった場合は 　ア　 ，気圧が下がった場合は 　イ　 など，気象条件の影響を受ける。
　b. 　偏心点を設ける場合，偏心距離は 　ウ　 の6 分の1 以下でなければならない。
　c. 　電子基準点や，電子基準点のみを既知点として設置された基準点を既知点とする4 級基準点測量では，2 級以上の性能を有するTS を使用する場合は， 　エ　 の条件が緩和される。",短くなり　　短くなる　　測点間距離　　路線の辺数及び路線長,短くなり　　長くなる　　新点間距離　　路線の辺数及び節点間の距離,長くなり　　長くなる　　新点間距離　　既知点数及び路線図形,短くなり　　短くなる　　測点間距離　　既知点数及び路線図形,長くなり　　長くなる　　測点間距離　　路線の辺数及び路線長,1,"TSによる基準点測量に関する問題である。ア～エに正しい語句を当てはめると次のようになる。

ア：短くなり
イ：短くなる

TSの距離補正計算は次の通りである。
①　図のため省略
D：気象補正後の距離　
DS：観測距離　
ｎS：TSが採用している標準屈折率（1＋⊿S）　
ｎ：気象観測から得られた屈折率（1＋⊿n）

ここで、⊿nは次式によって求められる。

②　図のため省略
ここで、①式を変形して気象補正前の距離を考えると次のようになる。
　　図のため省略

③　図のため省略
α：定数　
t：気温　
P：気圧 　
E：0.6×10－６

　②、③式より気温が上がれば⊿ｎの値は小さくなり、気象補正前の距離は短くなる。
　また、同様に気圧が下がれば同様に⊿ｎの値は小さくなり、気象補正前の距離は短くなる。

ウ：測点間距離
作業規程の準則 第23条2 １～４級基準点測量における偏心距離の制限は、S/e≧6 ここで、Sは「測点間距離」とある。
電子基準点のみを既知点とする場合は「新点間の距離」である。

エ：路線の辺数及び路線長
作業規程の準則 第23条2 （第35条2）によると、２級以上のTS、２級以上のGNSS、２級以上のセオドライト及び測距儀を用いる場合が該当する。
条件の緩和については結合多角方式の場合、路線の辺数が10から15辺以下に、路線長は500ｍから700ｍ以下となる。

　よって、正しい語句の組合せは１となる。"
6,30,9,"次の文は，我が国の準天頂衛星システムの特徴や仕組みについて述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",準天頂衛星には，日本における衛星測位の利用可能エリアや利用時間帯を広げる効果がある。,準天頂衛星の測位信号は，日本以外でも東南アジア，オセアニア地域で受信可能である。,GPS 衛星３機，準天頂衛星１機及びGLONASS 衛星２機の組合せで，公共測量における基準点測量を行うことができる。,GNSS 測量において準天頂衛星は，GPS 衛星と同等の衛星として使用することができる。,準天頂衛星は，GPS 衛星と同じ軌道上を周回している。,5,"我が国の準天頂衛星（みちびき：初号機：QZS-1）に関する問題である。みちびきは現在4号機（QZS-4）まで打ち上げられている。
問題各文について考えると次のようになる。

1.	正しい。安定した位置情報を得るためには、より多くの衛星が見えることが望ましい。
しかし、GPS衛星は都市部や山間部ではビルや樹木などに電波が遮られて可視衛星数が減り、位置情報が安定的に得られないことがある。
準天頂衛星はGPSと一体で利用できるため、常時安定した高精度測位を行うことを可能とする衛星数を確保することができる。

2.	正しい。準天頂衛星は日本のほぼ上空に滞留し、日本～インドネシア～オーストラリアのあたりを8の字の特殊な軌道を描いている。
準天頂衛星は常時測位信号を送信しているため、日本だけではなくアジア・オセアニア地域でも受信できる。

3.	正しい。基準点測量においてGLONASS衛星を用いて観測する場合は、GPS・準天頂衛星及びGLONASS衛星を、それぞれ２衛星以上を用いる必要がある。
準天頂衛星は、GPS衛星と同等の衛星として扱うことができるため問題はない。

4.	正しい。作業規程の準則に「準天頂衛星は、GPS衛星と同等の衛星として扱うことができるものとし、これらの衛星をGPS・準天頂衛星と表記する。」とある。

5. 間違い。準天頂衛星は傾斜対地同期軌道（IGSO）と呼ばれる軌道である。
日本のほぼ上空に滞留し、日本～インドネシア～オーストラリアのあたりを8の字の特殊な軌道を描いている。
これに対して、GPS衛星は中高度軌道（MEO）と呼ばれる軌道（周期12時間、軌道高度2万200kmで周回）を採用している。

　よって、明かに間違っているのは５となる。"
7,30,11,"次の文は，公共測量におけるGNSS 測量機を用いた標高の測量（以下「GNSS 水準測量」という。）について述べたものである。
　ア　 ～ 　エ　 に入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

GNSS 水準測量では，高精度な 　ア　 を用いることにより，近傍に水準点がない場合でも３級水準点が設置できる。
GNSS 水準測量を実施する場合は，既知点は一， 二等水準点， 　イ　 で標高が取り付けられた電子基準点又は１，２級水準点を使用する。
観測は，平均図などに基づき 　ウ　 により観測を行う。
なお，電波の 　エ　 は標高に大きく影響する場合があることから，作業地域の気象条件には十分注意する必要がある。",重力モデル　　GNSS 水準測量　　スタティック法　　大気遅延,ジオイド・モデル　　測標水準　　ネットワーク型RTK 法　　電離層遅延,重力モデル　　水準測量　　ネットワーク型RTK 法　　大気遅延,ジオイド・モデル　　GNSS 水準測量　　キネマティック法　　電離層遅延,ジオイド・モデル　　水準測量　　スタティック法　　大気遅延,5,"GNSS測量による標高の測量マニュアル（H29.2）に関する問題である。
問題文のア～エに正しい語句を当てはめると次のようになる。

ア：ジオイド・モデル
　　高精度化されたジオイド・モデル「日本のジオイド2011 ver.2」が整備された。
　　これによりGNSS水準測量が実施できるようになった。

イ：水準測量
　　GNSS水準測量を行う場合の既知点の種類は、一～二等水準点、電子基準点（「標高区分：水準測量による」に限る）、１～２級水準点である。
　　また既知点数は３点以上である。

ウ：スタティック法
　　GNSS水準測量はスタティック法により観測を行う。
　　使用衛星数はGPS・準天頂衛星の場合５衛星以上、GPS・準天頂衛星及びGLONASSの場合６衛星以上である。

エ：大気遅延
　　作業地域の気象条件に注意する必要があるのは、電波の大気による遅延（大気遅延）である。
　　大気遅延は基線解析ソフトに設定されている標準値を用いて補正され、電離層遅延はL1L2の２周波数帯の組合せで消去される。
　　対流圏遅延のこと。

　よって、最も適当な語句の組合せは５となる。"
8,30,12,"次のａ～ｅの文は，水準測量における誤差などについて述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

　a. 　１級水準測量では，標尺目盛を後視，前視，前視，後視の順に読定することにより，三脚の沈下による誤差を小さくすることができる。
　b. 　観測中，日傘や覆いを用いてレベルへの直射日光を避けるのは，熱膨張による影響を避けるためである。
　c. 　鉛直軸誤差は，望違鏡の鉛直軸が傾いているために生じる誤差である。この誤差は，三脚の特定の１本を常に同一の標尺に向けて整置し，観測することで小さくすることができる。
　d. 　標尺の誤差として零点誤差と標尺目盛誤差がある。零点誤差は往観測と復観測で標尺を入れ替えることにより小さくすることができ，標尺目盛誤差は，観測点数を偶数にすることにより小さくすることができる。
　e. 　1 級水準測量における標高値の補正計算では，正標高補正計算に代えて実測の重力値を用いた正規正標高補正計算を用いることができる。",a，b，c,a，d，e,b，c,c，d,d，e,5,"レベルを用いた水準測量における誤差とその消去法に関する問題である。
問題各文について考えると次のようになる。

a.	正しい。この方法により三脚が等速で微小な沈下であれば沈下による誤差を小さくすることができる。
チルチングレベルやオートレベルでは、後視小目盛→前視小目盛→前視大目盛→後視大目盛と標尺を読定する。

b.	正しい。気泡管（チルチング）レベルを用いる場合は問題文の理由から必要である。
オートレベルはコンペンセータが用いられているので省略できる。
電子レベルは内部の温度上昇を防ぐために直射日光を避ける必要がある。

c.	正しい。鉛直軸誤差の軽減方法である。
鉛直軸誤差は，望違鏡の鉛直軸が傾いているために生じる誤差である。
この誤差は，三脚の特定の１本を常に同一の標尺に向けて整置し，観測することで小さくすることができる。


d. 間違い。零目盛誤差は往路と復路の標尺を入替えることや測定回数を偶数回にすることにより小さくできるが、目盛誤差は防ぐことができない。

e. 間違い。１級水準測量では、「正規正標高補正（楕円補正）」に代えて「正標高補正（重力値による補正）」を用いることができる。問題文は逆である。

　よって、明かに間違っているものの組合せは、５のｄ，ｅである。"
9,30,15,"次の文は，公共測量における地形測量のうち，GNSS 測量機を用いた現地測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",使用する測量機は，２級以上の性能を有するGNSS 測量機とする。,GLONASS 衛星を用いてキネマティック法により観測する場合は，GPS 衛星及びGLONASS 衛星をそれぞれ２衛星以上用い，合計６衛星以上使用する。,GPS 衛星のみでRTK 法により観測を行う場合，使用する衛星数は4 衛星以上とし，セット内の観測はFIX 解を得てから10 エポック以上行うことを標準とする。,ネットワーク型RTK 法による地物，地形などの測定は，間接観測法又は単点観測法により行う。,標高を求める場合は，国土地理院が提供するジオイド・モデルを使用する。,3,"GNSS測量機を用いた現地測量に関する問題である。
問題各文について考えると次のようになる。
※準天頂衛星は、GPS衛星と同等の衛星として扱うことができるので、問題文中のGPS衛星は「GPS・準天頂衛星」と考えられる。

1.	正しい。現地測量に使用する機器として、２級GNSS測量機以上とされている。

2.	正しい。キネマティック法またはRTK法よる地形、地物等の測定では、GLONASS衛星を用いて観測する場合は、使用衛星数は６衛星以上。
ただし、GPS・準天頂衛星及びGLONASS衛星を、それぞれ２衛星以上用いること。とされている。

3. 間違い。キネマティック法またはRTK法による地形、地物等の測定では、GPS・準天頂衛星を使用する場合、使用衛星数は「５衛星以上」とされている。

4.	正しい。問題文の通りである。

5.	正しい。キネマティック法またはRTK法、ネットワーク型RTK法による地形、地物等の測定では標高を求める場合、問題文のように国土地理院が提供するジオイド・モデルより求めたジオイド高を用いて楕円体高を補正して求める。

　よって、明らかに間違っているのは３となる。"
10,30,18,"次のａ～ｅの文は，公共測量における空中写真測量について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。
　　 　
a. 　対空標識の設置とは，同時調整及び数値図化において基準点，水準点，標定点などの写真座標を測定するため，基準点などに一時標識を設置する作業をいう。
b. 　撮影計画においては，全ての主点位置が撮影区域内に収まるように設定する。
c. 　GNSS/IMU 装置を用いた撮影では，IMU の累積誤差を考慮し，撮影コース長をおおむね15 分以内で撮影できる距離とする。
d. 　同時調整とは，各写真の外部標定要素の成果値並びにパスポイント，タイポイントなどの水平位置及び標高を計算する作業をいう。
e. 　数値図化において標高点の水平位置の許容誤差は，地図情報レベル2500 の場合0.6 m 以内である。",a，c,a，d,b，d,b，e,c，e,4,"空中写真測量に関する問題である。問題各文について考えると次のようになる。

a.	正しい。対空標識設置の要点である。問題文の通り。


b. 間違い。撮影計画では撮影区域を完全にカバーするため、撮影コースの始めと終わりの撮影区域外をそれぞれ最低１モデル以上設定する必要がある。。


c.	正しい。撮影コース長を長くとると、飛行機の姿勢（IMU）誤差が累積して大きくなり、位置（GNSS）の値と精度が大きく離れてしまうため、問題文のように定めてある。


d.	正しい。同時調整の要点である。問題文の通り。空中三角測量により、パスポイント、タイポイント、標定点の写真座標を測定し、標定点成果及び外部標定要素を統合して調整計算を行う。


e. 間違い。標高点の較差の許容範囲は地図情報レベル2,500では0.4ｍ以内である。
0.6ｍは地図情報レベル5,000である。

　よって、明かに間違っているものの組合せは４となる。"
11,30,20,"次のａ～ｅの文は，人工衛星からのリモートセンシングについて述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 　合成開口レーダ（SAR）は，マイクロ波を対象物に照射し，対象物からの反射波を観測するため，夜間も観測することができる。
b. 　熱赤外線リモートセンシングは，対象物からの熱放射を観測するため，夜間も観測することができる。
c. 　リモートセンシングで一般的に扱われる電磁波の波長域には，波長の長い順に可視光域，赤外域，マイクロ波域などがある。
d. 　地上画素寸法の小さいグレースケール画像と地上画素寸法の大きいカラー画像を用いて，グレースケール画像と同じ地上画素寸法で判読性の向上したカラー画像を生成することができる。
e. 　光学センサで広く採用されているプッシュブルーム走査方式のラインセンサでは，人工衛星の進行とともに帯状に画像を取得しており，その画像は正射投影画像である。",a，b,a，d,b，e,c，d,c，e,5,"a.	正しい。合成開口レーダ（マイクロ波センサー）はマイクロ波（可視光線や赤外線より波長が長い）を地上に発射しその反射波を受信する。
このため、昼夜を問わず悪天候でも観測が行える。

b.	正しい。物体からの放射熱を観測するためその温度を測定することができ、地面や海の表面温度、火山活動や山火事等の状況を知ることができる。
熱赤外リモートセンシングは、雲がなければ夜間でも地表を観測することができる。

c. 間違い。波長の長い順ではなく短い順である。波長の短い順に並べると次のようになる。
γ線 → X線 → 紫外線 → 可視光線 → 赤外線 → マイクロ波

d.	正しい。グレー画像は白黒の濃淡が256諧調で表示され、カラー画像は三原色（RGB）で色を表示する。
画素の大きいカラー画像の中に画素の小さいグレースケールの濃淡を表示すれば同色でもその濃淡により判読性の向上したカラー画像が生成される。

e. 間違い。プッシュブルーム方式のようなラインセンサは、センサ取付け直下点の軌跡に対して両側に倒れ込むように写る（一次元中心投影）。
正射投影画像ではない。リモートセンシングの主なセンサタイプは、中心投影方式（フレーム、ライン、ポイントの各センサ）と非中心投影方式（レーダ、合成開口レーダ）に大別される。

　よって、明かに間違っている文書の組合せは５となる。"
12,30,22,"次のａ～ｅの文は，地図投影法について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 　地図投影法は，三次元立体である地球の表面に存在する地物の位置や形を，できるだけ正しく平面に描くための方法である。
b. 　正距図法は，地球上の任意の2 地点間の距離が，同一の縮尺で地図上に表示される図法である。
c. 　正積図法は，地球上の任意の範囲の面積が，縮尺に応じて地図上に正しく表示される図法である。
d. 　地図上において，正距図法と正積図法の性質を同時に満足させることは，理論上可能である。
e. 　ガウス・クリューゲル図法は，正角円錐図法の一種で，回転楕円体から平面に直接投影を行うものであり，大・中縮尺地図の図法として多く用いられている。",a，c,a，e,b，d,b，e,c，d,4,"問題各文について考えると次のようになる。

a.	正しい。地図投影法とは球面から平面上への投影方法である。
地図の目的によって各投影法の選択が行われる。

b. 間違い。正距図法とは任意の２点間の距離が地球上の距離と正しい比率で表される図法である。

c.	正しい。問題文を言換えると、地図上の任意地点の面積と対応する地球上の面積を正しい比率で表す投影法である。

d.	正しい。理論上不可能なのは、正積図法と正角図法の性質を同時に満足させることである。

e. 間違い。正角円錐図法ではなく、正角横円筒図法である。

　よって、明らかに間違っているものの組合せは、４のb,eとなる。"
13,30,24,"地理情報標準プロファイル（JPGIS）におけるメタデータに，次のａ～ｃの情報を記述したい。
それぞれの情報を記述するメタデータ項目の名称の組合せとして最も適当なものはどれか。次の中から選べ。

a. 　データの更新頻度に関する情報
b. 　データの再配布に関する禁止事項
c. 　データの作成に使用した原典データに関する情報

　　　a 　　　b 　　　c",保守情報　　　制約情報　　　系譜,保守情報　　　制約情報　　　参照系情報,保守情報　　　配布情報　　　参照系情報,品質情報　　　制約情報　　　参照系情報,品質情報　　　配布情報　　　系譜,1,"選択肢にあるメタデータ項目に関して考えると次のようになる。

保守情報　：空間データ製品の更新時期や頻度など
品質情報　：完全性、論理一貫性、位置正確度、時間正確度、主題正確度
制約情報　：使用に関する制約情報
配布情報　：デー他製品配布に関する情報
系譜　　　：元情報、作成過程（当該データ集合に至るまでの過去の記録や履歴など）
参照系情報：座標及び時間参照系への参照情報

これらより問題文にあるメタデータ項目は、
a.	保守情報
b.	制約情報
c.	系譜
となる。

よって、最も適当なものの組合せは１となる。"
14,30,26,"次の文は，公共測量における用地測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",公図等転写連続図の作成において，隣接する公図間で境界の線形に相違があったが，公図に記載されている境界をそのまま転写し，接合部を合致させるための調整は行わなかった。,境界と思われる箇所に既設の標識が設置されていたため，関係権利者の立会いは求めず，それを境界点とした。,境界測量のため現地において境界点を測定し，その座標値を求める作業を行うこととしたが，近くに基準点がなかったことから，新たに補助基準点を設置した。,境界点間測量は，境界点の精度確認のために行う作業であり，隣接する境界点間の距離について，全辺の距離を測定する必要がある。,用地測量の成果として，用地実測図データファイルと用地平面図データファイルを作成した。,2,"用地測量に関する問題である。問題各文について考えると次のようになる。

1.	正しい。転写連続図を作成するために無理な接合の合致は行わず、その間に余白を取って記載されているままに転写して作成する必要がある。

2. 間違い。境界確認においては、関係権利者立合いの上で境界点を確認する必要がある。
また既設の標識が設置されている場合は、関係権利者の同意を得てそれを境界点とすることができる。

3.	正しい。境界測量は、近傍の４級基準点以上の基準点に基づき、放射法等により行うものとする。
ただし、やむを得ない場合は、補助基準点を設置し、それに基づいて行うことができる。

4.	正しい。境界点間測量は境界点と用地境界杭を設置した点との距離を全辺において現地で測定するものである。

5.	正しい。問題文の通りである。"
15,30,28,"国土交通省では，ICT（情報通信技術）の全面的な活用などの施策を建設現場に導入することによって，建設生産システム全体の生産性向上を図り，もって魅力ある建設現場を目指す取組であるi-Construction（アイ・コンストラクション）を進めている。
次の文は，公共測量として行うi-Construction における測量で整備する三次元点群データについて述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",三次元点群データは，地形や地物を表現するための，位置や高さなどの情報を持つ点の集まりである。,三次元点群データを取得する測量手法として，車載写真レーザ測量（移動計測車両による測量）や航空レーザ測量，無人航空機（UAV）による空中写真を用いる測量などがある。,無人航空機（UAV）による空中写真を用いる測量であれば，どのような場所でも地形の三次元点群データが作成できる。,三次元点群データを利用して，断面図作成や土量計算などを行うことができる。,三次元点群データは，測量計画機関が指定する形式で作成する。,3,"三次元点群データに関する問題である。問題各文について考えると次のようになる。
三次元点群データとは、コンピュータで扱える点群（点の集合体）でそれぞれの点が三次元（x､y､z）座標値を持つデータである。

1.	正しい。三次元点群データを利用して平面図や立面図など様々な図面の全てを描くことができる。

2.	正しい。三次元点群データを取得するには、三次元レーザスキャナや写真解析データを利用する方法がある。

3. 間違い。空中写真で撮影できる場所ならば問題はないが、森林の中やトンネル部の内壁など、空中写真で撮影できない場所は点群データを得ることはできない

4.	正しい。点群データを結ぶことによって、各種図面やこれを利用した問題文のようなことが行える。

5. 正しい。問題文の通り。国土交通省では「LandXML1.2 に準じた３次元設計データ交換標準（案）」において、三次元設計データをLandXML に準拠した形式で表記することとしている。"
16,29,1,"次のa ～ e の文は, 測量法（昭和24 年法律第188 号）に規定された事項について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. ｢基本測量及び公共測量以外の測量」とは，基本測量又は公共測量の測量成果を使用して実施する基本測量及び公共測量以外の測量（建物に関する測量その他の局地的測量又は小縮尺図の調製その他の高度の精度を必要としない測量で政令で定めるものを除く。）をいう。
b. 基本測量及び公共測量以外の測量を実施しようとする者は，あらかじめ，国土交通省令で定めるところにより，その旨を国土地理院の長に届け出なければならない。
c. 測量計画機関は，自ら測量作業機関となることはできない。
d. 基本測量の測量成果及び測量記録の謄本又は抄本の交付を受けようとする者は，国土交通省令で定めるところにより，国土地理院の長に申請をしなければならない。
e. 技術者として基本測量又は公共測量に従事する者は，測量士又は測量士補でなければならない。",a ，b,a ，d,b ，c,c ，e,d ，e,3,"測量法に関する問題である。問題各文について考えると次のようになる。

a.	正しい。「基本測量及び公共測量以外の測量」とは、基本測量又は公共測量の測量成果を使用して実施する基本測量及び公共測量以外の測量である（測量法 第6条）。

b. 間違い。国土交通省令で定めるところにより、その旨を国土交通大臣に届け出なければならない。
国土地理院の長ではない。（測量法 第46条）

c.	間違い。測量計画機関が、自ら計画を実施する場合には、測量作業機関となることができる。（測量法 第7条）

d.	正しい。測量成果の公開（測量法 第28条）に関する文章である。

e.	正しい。登録された測量士又は測量士補でなければならない（測量法 第48条）。


　よって、明らかに間違っている文章はｂ、ｃである。

　※ｅの文章も厳密には「登録された測量士又は測量士補」である。
　しかし問題文を見ると、明らかにｂ、ｃが間違っているためｅは入っていないが３を選択するべきである。"
